name,brand,mfr_part_number,gtin,hsn_code,gst_rate,country_of_origin,pack_qty,device_type,module_size,current_rating,series,finish,certification_mark,warranty_period,source_url,image_url,confidence
Magnus 6 A One Way Bell Push Switch White,Crabtree,ACGSBXW061,,8536,18,India,1,Bell Push,1,6,Magnus,White,,,https://havells.com/crabtree/switches.html?p=3,,partial
Magnus 6 A One Way Bell Push Switch Grey,Crabtree,ACGSBXG061,,8536,18,India,1,Bell Push,1,6,Magnus,Grey,,,https://havells.com/crabtree/switches.html?p=4,,partial
Magnus 6 A One Way Mega Bell Push Switch with Indicator Grey,Crabtree,ACGMBIG061,,8536,18,India,1,Bell Push,1,6,Magnus,Grey,,,https://havells.com/crabtree/switches.html?p=4,,partial
Magnus 1 M Fan Regulator White,Crabtree,ACGRFXW104,,8536,18,India,1,Fan Regulator,1,,Magnus,White,,,https://havells.com/crabtree/switches.html?p=2,,partial
Magnus 1 M Fan Regulator Grey,Crabtree,ACGRFXG104,,8536,18,India,1,Fan Regulator,1,,Magnus,Grey,,,https://havells.com/crabtree/switches.html?p=2,,partial
Magnus 2 M Fan Regulator White,Crabtree,ACGRFHW015,,8536,18,India,1,Fan Regulator,2,,Magnus,White,,,https://havells.com/crabtree/switches.html?p=2,,partial
Magnus 2 M Fan Regulator Grey,Crabtree,ACGRFHG015,,8536,18,India,1,Fan Regulator,2,,Magnus,Grey,,,https://havells.com/crabtree/switches.html?p=2,,partial
Magnus 1 M USB Socket 2.1 A White,Crabtree,ACGGGOW001,,8536,18,India,1,USB Socket,1,,Magnus,White,,,https://havells.com/crabtree/switches.html?p=5,,partial
Magnus 1 M USB Socket 2.1 A Grey,Crabtree,ACGGGOG001,,8536,18,India,1,USB Socket,1,,Magnus,Grey,,,https://havells.com/crabtree/switches.html?p=5,,partial
Adiva 6 AX One Way Flat Switch White,Crabtree,AHASPXW061,,8536,18,India,1,One-way Switch,1,6,Adiva,White,,,https://havells.com/crabtree/switches.html,,partial
Adiva 6 AX One Way Flat Switch Grey,Crabtree,AHASPXG061,,8536,18,India,1,One-way Switch,1,6,Adiva,Grey,,,https://havells.com/crabtree/switches.html,,partial
Adiva 6 AX One Way Flat Switch Black,Crabtree,AHASPXB061,,8536,18,India,1,One-way Switch,1,6,Adiva,Black,,,https://havells.com/crabtree/switches.html,,partial
Adiva 16 AX One Way Flat Switch White,Crabtree,AHASPXW161,,8536,18,India,1,One-way Switch,1,16,Adiva,White,,,https://havells.com/crabtree/switches.html?p=2,,partial
Adiva 16 AX One Way Flat Switch Grey,Crabtree,AHASPXG161,,8536,18,India,1,One-way Switch,1,16,Adiva,Grey,,,https://havells.com/crabtree/switches.html?p=2,,partial
Adiva 16 AX One Way Flat Switch Black,Crabtree,AHASPXB161,,8536,18,India,1,One-way Switch,1,16,Adiva,Black,,,https://havells.com/crabtree/switches.html?p=2,,partial
Adiva 6 AX Two Way Flat Switch White,Crabtree,AHASPXW062,,8536,18,India,1,Two-way Switch,2,6,Adiva,White,,,https://havells.com/crabtree/switches.html?p=2,,partial
Adiva 6 AX Two Way Flat Switch Grey,Crabtree,AHASPXG062,,8536,18,India,1,Two-way Switch,2,6,Adiva,Grey,,,https://havells.com/crabtree/switches.html?p=2,,partial
Adiva 6 AX Two Way Flat Switch Black,Crabtree,AHASPXB062,,8536,18,India,1,Two-way Switch,2,6,Adiva,Black,,,https://havells.com/crabtree/switches.html?p=2,,partial
Adiva 16 AX One Way Flat Switch with Indicator White,Crabtree,AHASPIW161,,8536,18,India,1,One-way Switch,1,16,Adiva,White,,,https://havells.com/crabtree/switches.html?p=3,,partial
Adiva 16 AX One Way Flat Switch with Indicator Grey,Crabtree,AHASPIG161,,8536,18,India,1,One-way Switch,1,16,Adiva,Grey,,,https://havells.com/crabtree/switches.html?p=3,,partial
Adiva 16 AX One Way Flat Switch with Indicator Black,Crabtree,AHASPIB161,,8536,18,India,1,One-way Switch,1,16,Adiva,Black,,,https://havells.com/crabtree/switches.html?p=4,,partial
Adiva 6 A Bell Push Flat Switch White,Crabtree,AHASPKW061,,8536,18,India,1,Bell Push,1,6,Adiva,White,,,https://havells.com/crabtree/switches.html?p=3,,partial
Adiva 6 A Bell Push Flat Switch Grey,Crabtree,AHASPKG061,,8536,18,India,1,Bell Push,1,6,Adiva,Grey,,,https://havells.com/crabtree/switches.html?p=3,,partial
Adiva 6 A Bell Push Flat Switch Black,Crabtree,AHASPKB061,,8536,18,India,1,Bell Push,1,6,Adiva,Black,,,https://havells.com/crabtree/switches.html?p=4,,partial
Signia 6/16 A 3 Pin Shutter Raised Socket ISI White,Crabtree,ACWKRXW163,,8536,18,India,1,Combined 6/16A,1,16,Signia,White,ISI,,https://havells.com/crabtree/switches.html,,partial
Signia 6 A 3 Pin Shutter Socket ISI Grey,Crabtree,ACWKPXG063,,8536,18,India,1,Socket 6A,1,6,Signia,Grey,ISI,,https://havells.com/crabtree/switches.html?p=5,,partial
Signia 6/16 A 3 Pin Shutter Socket ISI Grey,Crabtree,ACWKCXG163,,8536,18,India,1,Combined 6/16A,1,16,Signia,Grey,ISI,,https://havells.com/crabtree/switches.html?p=5,,partial
Signia 10 AX One Way Switch With Indicator Grey,Crabtree,ACWSPXG101,,8536,18,India,1,One-way Switch,1,10,Signia,Grey,,,https://havells.com/crabtree/switches.html?p=5,,partial
Signia 2 M Fan Regulator - 8 Step Grey,Crabtree,ACWRFHG008,,8536,18,India,1,Fan Regulator,2,,Signia,Grey,,,https://havells.com/crabtree/switches.html?p=5,,partial
Signia 2 M Fan Regulator 8 Step White,Crabtree,ACWRFHW008,,8536,18,India,1,Fan Regulator,2,,Signia,White,,,https://havells.com/crabtree/switches.html?p=5,,partial
Signia 25 A Motor Starter White,Crabtree,ACWSMXW251,,8536,18,India,1,,1,25,Signia,White,,,https://havells.com/crabtree/switches.html,,partial
Magnus 1 M Indicator Lamp White,Crabtree,ACGIPIW060,,8536,18,India,1,,1,,Magnus,White,,,https://havells.com/crabtree/switches.html?p=2,,partial
